Title,Original Title,Seen,Original DVD,Production Year,Running Time,Genre,Cover Image Front
Agente Acidental,The Man,TRUE,TRUE,2005,80,Acção,Z:\Databases\DVD_1\Images\5602193346115.15F.JPG
Agente Secreto 007,Dr. No,TRUE,TRUE,1962,105,Acção,Z:\Databases\DVD_1\Images\IF38C4946CBC85754.15F.JPG
Ágora,,TRUE,TRUE,2009,126,Aventura,Z:\Databases\DVD_1\Images\5600304214001.15F.JPG
Air America,,TRUE,TRUE,1990,108,Acção,Z:\Databases\DVD_1\Images\044007834824.15F.JPG
Al Capone,Capone,TRUE,TRUE,1975,97,Crime,Z:\Databases\DVD_1\Images\5600304216746.15F.JPG
Aladdin,,TRUE,TRUE,1992,87,Animação,Z:\Databases\DVD_1\Images\5601887465248.15F.JPG
Albert Nobbs,,FALSE,TRUE,2011,113,Drama,Z:\Databases\DVD_1\Images\5606320028479.15F.JPG
Aldeia da Roupa Branca,,TRUE,TRUE,1938,84,,Z:\Databases\DVD_1\Images\5606699506943.15F.JPG
Alexandre o Grande,Alexander,TRUE,TRUE,2004,107,,Z:\Databases\DVD_1\Images\5601887470839.15F.JPG
Ali,,TRUE,TRUE,2001,151,Drama,Z:\Databases\DVD_1\Images\5602193310260.15F.JPG
Ali Baba,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M7.15F.JPG
Alta Traição,No Way Out,TRUE,TRUE,1987,110,Suspense/Thriller,Z:\Databases\DVD_1\Images\5600304176996.15F.JPG
Altos Voos,View from the top,TRUE,TRUE,2003,83,Comédia,Z:\Databases\DVD_1\Images\5608652021159.15F.JPG
Alvo em Movimento,A View to a Kill,TRUE,TRUE,1985,126,Acção,Z:\Databases\DVD_1\Images\IA72164A3BA5D8B22.15F.JPG
Alvo Marcado,Rabbit on the Moon,TRUE,TRUE,2004,109,,Z:\Databases\DVD_1\Images\4042564017335.5F.JPG
Amar em Nova Iorque,Autumn in New York,TRUE,TRUE,2000,101,Romance,Z:\Databases\DVD_1\Images\5601887428236.15F.JPG
Amargo Amanhecer,Come Early Morning,TRUE,TRUE,2006,93,Romance,Z:\Databases\DVD_1\Images\5600304177948.15F.JPG
América Proibida,American History X,TRUE,TRUE,1998,114,Drama,Z:\Databases\DVD_1\Images\5602193303606.15F.JPG
American Pie - A Primeira Vez,American Pie,TRUE,TRUE,1999,92,Comédia,Z:\Databases\DVD_1\Images\5601887426409.15F.JPG
American Splendor,,TRUE,TRUE,2003,101,,Z:\Databases\DVD_1\Images\5606699506073.15F.JPG
Amigos Com Dinheiro,Friends With Money,TRUE,TRUE,2006,84,Comédia,Z:\Databases\DVD_1\Images\8414533042970.15F.JPG
